OBJECTID,Lat,Lon,ave_T,ave_RH,ELEVATION,SLOPE,SOLAR,No Tree Cells,Tree Cells,Tree COVERAGE,tick
1,41.11173,-73.83804,25.5,39.9,100.6299973,60.89200211,44.65981674,247,63,0.203225806,0
2,41.11112,-73.839,28.3,39.5,98.83999634,64.89897156,997.4401855,164,125,0.432525952,2
3,41.11084,-73.83914,27,41.8,98.93999481,71.10359955,35.90276337,224,85,0.275080906,6
4,41.1109,-73.83919,25.8,40.3,99.1499939,70.03194427,464.3075256,130,25,0.161290323,6
5,41.11081,-73.83945,26.5,39.2,96.54999542,77.31304169,16.26157379,155,159,0.506369427,3
6,41.11075,-73.83953,24.4,38,95.59999847,77.3454895,26.96474648,89,94,0.513661202,5
7,41.11061,-73.83967,25.2,41.4,93.44999695,44.82731247,10.77411747,197,113,0.364516129,4
8,41.1105,-73.83992,26.2,39.4,91.37999725,84.04537201,169.4162903,156,159,0.504761905,0
9,41.11055,-73.84004,24.3,40.1,90.91999817,85.29894257,1145.103882,109,103,0.485849057,1
10,41.11048,-73.84019,26,38.8,91.3999939,81.75223541,8.286547661,128,136,0.515151515,2
11,41.1105,-73.84008,24.3,37.5,91.54999542,82.42817688,3.006265402,19,12,0.387096774,0
12,41.11029,-73.84024,25.2,39.3,93.60999298,82.73754883,90.63671875,227,88,0.279365079,5
13,41.11018,-73.84042,24.9,35.9,93.70999908,82.45398712,43.27433777,247,66,0.21086262,2
14,41.11012,-73.84032,23.4,38.3,93.43000031,80.64968109,9.412565231,129,74,0.36453202,3
15,41.11023,-73.84057,25.7,38.3,94.38999939,82.52966309,23.55944824,135,114,0.457831325,2
16,41.11003,-73.84093,26.8,36.6,92.70999908,79.59480286,755.9072266,192,118,0.380645161,3
17,41.10999,-73.8409,26.2,34.6,92.44999695,84.2649765,1361.922119,75,28,0.27184466,0
18,41.11,-73.84074,23.3,38.3,93.58999634,21.13783836,44.00790787,182,64,0.260162602,3
19,41.11002,-73.84114,27.2,45.5,92.54999542,80.12063599,5.919447899,189,112,0.372093023,0
20,41.10995,-73.84099,27.2,45,92.02999878,76.61553192,2.193921089,48,67,0.582608696,0
21,41.10986,-73.8411,27.8,45.2,90.96999359,83.06656647,3.433721542,121,118,0.493723849,3
22,41.10992,-73.84124,28.2,45,91.55999756,78.55644989,2.39169383,102,94,0.479591837,0
23,41.10974,-73.84118,29,45.7,89.93499756,79.70936584,36.83389664,151,119,0.440740741,1
24,41.10961,-73.8412,29.9,47.9,88.44999695,77.66745758,5.980710506,138,118,0.4609375,0
25,41.10966,-73.84119,28.5,49.5,88.68999481,84.37930298,1436.265625,11,10,0.476190476,2
26,41.10953,-73.84134,28.4,52.1,87.86000061,81.59304047,6.606011868,166,102,0.380597015,2
27,41.10935,-73.84127,29.3,52.7,84.86999512,83.90384674,4.597091675,156,160,0.506329114,3
28,41.10923,-73.84145,29.4,53.3,81.66999817,83.92584991,250.9969482,123,192,0.60952381,2
29,41.10909,-73.84144,30.1,53.2,79.66999817,83.29602051,1028.845337,142,134,0.485507246,4
30,41.10919,-73.84128,29.3,44.9,82.8299942,74.77254486,0.464856267,115,126,0.522821577,4
31,41.10913,-73.84131,28.8,48.3,82.05999756,83.77429199,578.9552002,31,31,0.5,7
32,41.10885,-73.84141,29.1,51.8,81.04999542,79.83453369,21.51207352,228,86,0.27388535,4
33,41.10883,-73.84138,31.2,50.6,80.72999573,70.13352203,18.11754227,38,27,0.415384615,4
34,41.10884,-73.84145,29.9,46.1,80.94999695,63.48039627,38.10613632,60,7,0.104477612,0
35,41.10867,-73.84152,29.9,46.6,81.78999329,22.55278015,24.45042038,253,60,0.191693291,1
36,41.10864,-73.84156,30,44.6,82.28999329,11.86503315,158.5609436,51,38,0.426966292,2
37,41.10852,-73.84168,29.8,45.4,82.10999298,46.53327942,49.45404434,198,95,0.324232082,2
38,40.92256,-73.47001,63.85,47.5,35.33142471,89.98181915,1466.682373,268,47,0.149206349,5
39,40.92251,-73.47044,62.2,43.9,35.23671722,89.97541046,1839.422607,261,48,0.155339806,15
40,40.92239,-73.47084,60.9,44.75,35.45074463,89.98512268,4328.446777,262,52,0.165605096,9
41,40.9224,-73.47112,60,44,34.97867203,89.99147034,1350.845703,172,135,0.439739414,5
42,40.92249,-73.47151,60.15,43.55,35.15937042,89.94177246,3849.800049,201,109,0.351612903,11
43,40.9227,-73.47189,60.5,44.6,34.1893959,89.9907608,3913.888672,270,44,0.140127389,7
44,40.92272,-73.47215,60.06666667,42.76666667,34.00759125,89.99541473,1738.350464,224,84,0.272727273,5
45,40.92292,-73.47259,63.4,39.5,32.45835876,89.98711395,7443.04834,213,102,0.323809524,8
46,40.92304,-73.4727,68.03333333,34.7,32.48911667,89.97429657,1424.424438,226,58,0.204225352,19
47,40.92317,-73.47313,67,32.7,34.91981125,89.99485016,5390.61377,234,80,0.25477707,8
48,40.92339,-73.47353,64,34.16666667,31.60043907,89.99008179,5421.616211,216,98,0.312101911,17
